page,seq,round1_answer,round2_answer,match,question_start
201,6,×,○,DIFF,住民訴訟を提起した者が当該訴訟の係属中に死亡したとき、その相続人は、当該地方公共
202,3,×,○,DIFF,住民訴訟は、当該普通地方公共団体の事務所の所在地を管轄する高等裁判所に提起するこ
202,6,×,○,DIFF,住民は、有償契約の50分の1の違算をもって監査委員に事務の監査を求める直接請求を
202,7,○,×,DIFF,監査委員が適法な住民監査請求を不適法として却下した場合、当該請求をした住民は、適
203,2,○,×,DIFF,普通地方公共団体は、住民が公の施設を利用することについて、不当な差別的取扱をして
203,3,×,○,DIFF,普通地方公共団体は、住民が公の施設を利用することについて不当でない合理的な理由が
206,3,○,×,DIFF,自治事務については、関与は必要最小限のものとすることとし、普通地方公共団体の自主
207,2,×,○,DIFF,各大臣は、その所管する法令（法律、法律に基づく政令）に係る都道府県知事の法定受託
208,3,×,○,DIFF,各大臣は、特に必要があると認めるときは、その所管する法令に係る市町村の執行機関が
209,1,×,○,DIFF,国地方係争処理委員会の委員は総務大臣が両議院の同意を得て任命し、また自治紛争処理
209,2,×,○,DIFF,自治紛争処理委員は、普通地方公共団体の自治事務に関する紛争を処理するために設けら
209,5,×,○,DIFF,国と都道府県間の紛争は国地方係争処理委員会に、国と市町村間の紛争は自治紛争処理委
214,2,×,○,DIFF,Ａが、精神上の障害により事理を弁識する能力を欠くに至る状況にある場合、Ａは当然に
215,6,×,○,DIFF,後見開始の審判をする場合において、本人成年被後見人または被補助人であるときは、家
216,5,×,○,DIFF,被保佐人がその保佐人の同意を得なければならない行為は、法定に定められている行為に
217,4,×,○,DIFF,制限行為能力者が被補助人であり、補助人の同意を得なければならない行為を被補助人が
218,1,○,×,DIFF,行方不明者がその自己の財産につき管理人を置かなかったときは、利害関係人または検察
218,2,×,○,DIFF,法定代理人の同意を欠いてなされた未成年者の財産行為で、その行為が法定代理人に対し
218,3,×,○,DIFF,被保佐人が保佐人の同意を要する行為をその同意を得ずに行った場合において、相手方が
218,4,○,×,DIFF,制限行為能力者が行為能力があると信じさせたため相手方に対し訴訟を有用とさせ、制限
218,5,×,○,DIFF,Aは未成年者であったが、その旨をBに告げずに、自己所有の甲をBに売却する旨の売買
219,1,○,×,DIFF,行方不明者が自己の財産につき管理人を置いた場合において、その不在者の生死が不明か
219,2,○,×,DIFF,不在者の生死が7年間明らかでない場合において、利害関係人の請求により家庭裁判所が
219,4,×,○,DIFF,失踪の宣告を受けた者は、死亡したものとみなされ、権利能力を喪失するため、生存する
219,5,○,×,DIFF,Aについて失踪宣告がなされた後にBはCと婚姻したが、その後、失踪宣告が取り消され
220,1,×,○,DIFF,Aの所有する土地の上に、Aの所有する建物がある場合において、Aは、土地の所有権を
221,1,○,×,DIFF,相手方と通じて行った虚偽の意思表示は、その当事者間においても無効である。
221,2,×,○,DIFF,Aが自己の所有する甲土地をBと通謀してBに売却（登記完了）したところ、Bが甲土地
222,4,×,○,DIFF,Aが自己の所有する甲土地をBと通謀してBに売却（仮装売買）した場合、Bの一般債権
224,1,×,○,DIFF,錯誤による意思表示については、表意者に重大な過失がある場合であっても、原則として
226,5,○,×,DIFF,AからBに不動産の売却が行われ、BはこれをCに転売したところ、AがBの詐欺を理由
228,1,○,×,DIFF,建物を購入する代理権をAから与えられたBが、Cから建物を買った場合に、Bが未成年
228,2,○,×,DIFF,Aは、Bの親権者として、BのCに対する金銭の返済を受けた。Aが被保佐人であった場
230,1,○,×,DIFF,A所有の建物を売却する代理権をAから与えられたBが、自らその買主となった場合に、
230,3,×,○,DIFF,代理権は、本人の死亡により消滅する。
230,4,○,×,DIFF,代理権は、代理人の死亡又は破産手続開始の決定によっても消滅する。
230,6,×,○,DIFF,債務者が本人の意思を第三者に表示する場合、その意思表示に錯誤があったか否かは、本
231,1,×,○,DIFF,Ａは、Ａ所有する地の売主権設定に関する代理権をＢに授与していないのに、ＣにＢに代
231,4,×,○,DIFF,Ａは、ＢにＣから50万円を借り入れる旨の金銭消費貸借契約の代理権を授与したが、撤
231,5,×,○,DIFF,Ａは、ＢにＣから50万円を借り入れる旨の金銭消費貸借契約の代理権を授与したが、撤
232,4,○,×,DIFF,Aの子Bが、Aに無断でAの代理人としてA所有の土地をCに売却する契約を締結した場
233,1,○,×,DIFF,AがB所有の土地をCに売却した。AがBの代理人と称して売却した場合、Cは、Aに代
233,4,○,×,DIFF,Aの長男BがAに無断でAの代理人と称してCにA所有の土地を売却した。Bが死亡して
233,5,○,×,DIFF,Aの長男BがAに無断でAの代理人と称してCにA所有の土地を売却した。Aが死亡して
234,4,×,○,DIFF,Aの子Bが、Aに無断でAの代理人としてA所有の土地をCに売却する契約を締結したと
234,5,○,×,DIFF,Aの長男BがAに無断でAの代理人と称してCにA所有の土地を売却した。その後、Aが
236,5,○,×,DIFF,取消権は、追認をすることができる時から5年間行使しない場合は、時効によって消滅す
237,3,○,×,DIFF,A・B間で締結された契約に、経済情勢に一定の変動があったときに当該契約は失効する
238,1,×,○,DIFF,条件が法律行為の時に既に成就していた場合において、その条件が停止条件であるときは
238,4,○,×,DIFF,不能の停止条件を付した法律行為は、無効であるのに対して、不能の解除条件を付した法
238,6,×,○,DIFF,A・B間で締結された契約が金銭消費貸借契約であり、借主Bが将来社会的に成功を収め
239,4,○,×,DIFF,AのBに対する甲債権のために保証人となったCは、甲債権が消滅すればAに対して負っ
240,1,×,○,DIFF,AがBに対する甲債権の担保として所有の不動産に抵当権を有している場合。債務者Aに
240,3,○,×,DIFF,AがBに対する甲債権の担保として所有の不動産に抵当権を有している場合。丙が不動産
240,4,×,○,DIFF,AはBから1000万円借り受け、Cが連帯保証人となった。この債権の時効が完成後、
241,5,○,×,DIFF,債務者Aの債権者Bに対する債務の承認によって被担保債権の時効が更新した場合に、物
241,6,×,○,DIFF,被保佐人が保佐人の同意を得ずに債務を承認した場合は、時効は更新しない。
242,1,○,×,DIFF,裁判上の請求がある場合、裁判が終了する（確定判決または確定判決と同一の効力を有す
242,2,×,○,DIFF,裁判上の請求がある場合において、確定判決または確定判決と同一の効力を有するものに
243,5,○,×,DIFF,Aは、その所有する甲不動産をXに賃貸した後、Xが対抗要件を具備しない間に、Bに対
244,1,×,○,DIFF,債務の履行不能による損害賠償請求権の消滅時効は、債務の履行が不能となった時から進
244,2,○,×,DIFF,AがBに電化製品を売却し、Bの任意の支払方法によ  き、数回の期日の分割して弁済
244,5,○,×,DIFF,人の生命又は身体の侵害による損害賠償請求権は、その権利について行使することができ
245,2,×,○,DIFF,Aが所有する甲土地の上に、Bが無権原なく乙建物を建設してこれをCに譲渡した場合、
246,1,×,○,DIFF,甲はその所有の土地を乙に売り渡し、代金を受け取ったが、移転登記が済まないうちに乙
246,5,○,×,DIFF,甲は、乙から建物を購入したが、その登記前に丙がその建物を不法占拠した場合、甲は、
247,2,×,○,DIFF,Aの所有する甲土地につきAがBに対して遺贈する旨の遺言をして死亡した後、Aの唯一
249,1,×,○,DIFF,不動産を時効により取得した占有者は、取得時効が完成した後にその不動産を譲り受けて
249,3,×,○,DIFF,不動産を時効により取得した占有者は、取得時効が完成した後に当該不動産を譲り受けた
249,4,○,×,DIFF,不動産の取得時効の完成後、所有者後継登記がされたことのないまま、第三者が不動産の
