page,seq,round1_answer,round2_answer,match,question_start
058,3,○,○,MATCH,行政庁により命じられた行為について代執行の権限を有するのは、義務者に対して行為を
058,4,○,○,MATCH,代執行は、行政庁が義務者に代わって自ら行わなければならず、第三者にこれを行わせる
058,5,○,○,MATCH,行政代執行法に基づいて代執行を行うには、原則として、義務の履行期限を明示し、予め
058,6,×,×,MATCH,代執行をするには、代執行を行うことを義務者に対し、予め文書で戒告するか、または直
058,7,×,×,MATCH,代執行をするには、常に、あらかじめ戒告および代執行令書による通知を行わなければな
058,8,○,×,DIFF,代執行を行うには、あらかじめ文書で戒告をしなければならないが、非常の場合または危
059,1,×,×,MATCH,代執行のために現場に派遣される執行責任者は、執行責任者なる本人であることを示す証
059,2,×,×,MATCH,代執行のために現場に派遣される執行責任者は、その者が執行責任者たる本人であること
059,3,×,○,DIFF,代執行に要した費用の徴収については、原則として文書をもってその納付を命じなければ
059,4,○,○,MATCH,代執行に要した費用については、義務者に対して納付命令を発出したものの、これが納付
059,5,×,×,MATCH,義務者が代執行に要した費用を納付しない場合は、国税滞納処分の例により徴収し、徴収
059,6,×,×,MATCH,公法上の金銭債権について法律で行政上の強制徴収の手段が認められている場合でも、一
059,7,×,×,MATCH,行政上の義務の履行を確保するために行政代執行が行われ、行政上の目的が実現された場
059,8,○,○,MATCH,代執行を含む行政上の強制執行を、行政罰とその目的を異にするから、同一の義務違反に
060,1,×,×,MATCH,執行罰とは、代替的作為義務または不作為義務の履行のない場合に、その履行を強制する
060,2,×,○,DIFF,行政上の強制執行のうち執行罰は、行政法上の義務の履行を強制するために科する罰であ
060,3,○,○,MATCH,執行罰は、刑罰ではないため、二重処罰の禁止の原則の適用はなく、同一の義務の不履行
060,4,×,×,MATCH,義務不履行者には、執行罰としての過料が課されることとなっており、金銭的な負担を通
060,5,×,×,MATCH,故意に一定以上の履き者を発する者に対し、条例で罰金を発する行為の中止命令規定を設
060,6,×,×,MATCH,不作為義務、非代替的作為義務の履行にかかる直接強制、執行罰の組み合わせについては
061,1,×,×,MATCH,行政上の即時強制とは、行政上の義務の不履行に対し、行政機関が即時に直接義務者の身
061,2,×,○,DIFF,即時強制は、金銭給付義務の不履行に対し、その履行を実現するために行われる強制作用
061,3,×,×,MATCH,行政上の直接強制は、義務者が義務を履行しない場合に、直接、義務者の身体または財産
062,1,×,×,MATCH,即時強制は、代替的作為義務の不履行に対し、行政庁が自ら義務を債務者に代わって行う
062,2,×,×,MATCH,即時強制は、行政法上の義務の不履行の有無に関係なく、行政上必要な状態を実現するこ
062,3,×,×,MATCH,即時強制とは、義務の履行を強制するためではなく、目前の急迫の障害を除く必要上義務
062,4,×,○,DIFF,行政庁が私人に対し強制を加えるためには、事前に私人に対し作為義務を課していること
062,5,×,×,MATCH,行政の即時強制は、私人の財産のみならず身体をも対象とするが、現在では、基本的人権
062,6,×,○,DIFF,行政上の即時強制には、懲法上の令状主義は適用されない。
062,7,×,×,MATCH,建築規制法規に違反する建築物として除却命令が出ているにもかかわらず移動者が自主的
062,8,×,×,MATCH,営業許可に付された条件の履行を促す行政措置を無視したまま営業を継続している業者の
063,1,×,×,MATCH,建築規制法規に違反する建築物の所有者からの飲水申し込みを市長が拒否する行為は、行
063,2,○,○,MATCH,車両が通行する公道上に寝ころんだまま熟睡している泥酔者の安全を確保するため、警察
063,3,○,×,DIFF,直接強制に類似したものとして、即時強制がある。即時強制は、直接私人の身体又は財産
063,4,○,○,MATCH,行政上の即時強制は、日常通過の障害を除くという緊急の必要上相手方に義務を命じてい
063,5,×,×,MATCH,即時強制は法律により個別に根拠づけられている場合にのみ認められるが、いわゆる成田
063,6,○,×,DIFF,路上駐車禁止は、それ自体は不作為義務であるが、警察官等は、過失なくして移動を命じ
064,1,○,○,MATCH,行政罰は、行政上の過去の義務違反に対する制裁であり、義務履行確保の手段としても役
064,2,○,○,MATCH,行政罰とは、行政法上の義務違反に対し、一般統治権に基づいて、制裁として科される罰
064,3,×,×,MATCH,公務員の懲戒免職処分は、行政刑罰の一種である。
064,4,○,○,MATCH,刑事罰の対象となる行為は、それ自体が反道義性、反社会性を有するものであるのに対し
064,5,×,×,MATCH,行政罰と執行罰にはいくつかの相違点があるが、過去の行政上の義務違反に対する制裁と
064,6,○,×,DIFF,行政罰には、行政上の秩序を維持するための罰の一種としての過料がある。
064,7,○,×,DIFF,行政上の義務の履行確保手段には、間接的強制手段として、行政罰がある。その中で秩序
065,1,×,×,MATCH,義務不履行者には刑事罰が科されることが原則であり、罰則の間接強制により行政処分の
065,2,×,×,MATCH,「法律なければ、刑罰なし」の原則（罪刑法定主義）は、刑事罰についてのみ適用され、
065,3,×,×,MATCH,行政罰のうち秩序罰としての過料を科するためには、法律の根拠を必要としない。
065,4,×,×,MATCH,行政罰は、地方公共団体の自治立法をその条例により科すことはできない。
065,5,×,○,DIFF,行政罰についての法令に特別の規定がある場合のほかは、原則として刑法総則が適用され
065,6,×,×,MATCH,過料は、法律において規定されているほか、普通地方公共団体の長の制定する規則におい
065,7,○,○,MATCH,普通地方公共団体の過料は、普通地方公共団体の長が行政行為の形式でこれを科し、地方
065,8,×,×,MATCH,地方自治法に定める過料は、非役付件手続法の定めるところにより地方裁判所において科
066,1,×,×,MATCH,行政上の秩序罰とは、行政上の秩序に障害を与える危険がある義務違反に対して科される
066,2,○,○,MATCH,行政上の秩序罰として行政庁が過料を科することがあるが、これについては、刑法総則の
066,3,×,○,DIFF,過料は、刑法総則の適用はないが、これを科すには刑事訴訟法に定める手続による必要が
066,4,○,○,MATCH,行政刑罰には刑事罰とは異なって、違反行為者だけでなく、その使用者や事業主にも科刑
066,5,×,○,DIFF,行政上の秩序罰としての過料と行政刑罰とは、併科することができないとするのが最高裁
066,6,○,○,MATCH,行政罰は、懲戒罰と併科することができる。
066,7,×,×,MATCH,行政刑罰は、執行罰と同様に、同一事実に対してその目的を達するまで繰り返し科するこ
068,1,○,○,MATCH,「命令制定手続」、「申請に対する処分手続」、「計画策定手続」、 [行政手続法]、
068,2,×,×,MATCH,行政手続法は、行政契約につき定義規定を置いており、国は、それに基づする行政契約の
068,3,×,○,DIFF,行政手続法においては、行政調査を行う場合、調査の遂行を逐行させる権限を及ぼさない
068,4,×,×,MATCH,行政手続法は、その第１条（目的）で行政運営における公正・透明の原則と並んで、説明
068,5,×,×,MATCH,行政手続法は、行政処分をもっぱら対象とし、その事前手続について法的規制を設けると
068,6,○,○,MATCH,行政手続法１条１項は一般法性格を定め、同条２項は特別法優位の原則を規定している。
069,1,×,×,MATCH,法の規定において用いられる「法令」とは、法律及び法律に基づく命令のみを意味し、条
069,2,○,○,MATCH,行政庁が許認可を与える等の行為をするを処分する。
069,3,×,×,MATCH,補助金の交付申請は、法令に基づかなければならない申請ではない。
069,4,×,×,MATCH,行政手続法上の申請のうち、行政庁が諾否の応答を義務づけられるのは、許可あるいは認
069,5,×,×,MATCH,「申請」とは、法令に基づき、申請者本人または申請者以外の第三者に対し何らかの利益
069,6,×,×,MATCH,行政代執行は、義務者の義務不履行をその要件として、その義務に反して行われるので、
069,7,○,×,DIFF,聴聞は、不利益処分に与する場合にのみ実地されるが、弁明の機会は、申請者の利益に関
069,8,○,○,MATCH,申請により求められた許認可等を拒否する処分は、不利益処分ではなく、「申請に対する
070,1,×,×,MATCH,「不利益処分」とは、申請により求められた許認可等を拒否する処分を含む。申請に基づ
070,2,×,×,MATCH,申請拒否処分は、申請により求められた許認可等を拒否するもので、法の定義上、不利益
070,3,○,○,MATCH,特定の者を名あて人として直接その権利を制限する処分であっても、名あて人となるべき
070,4,×,○,DIFF,「行政機関」には、国の一定の機関およびその職員が含まれるが、地方公共団体の機関は
070,5,×,×,MATCH,行政指導は、行政機関がその任務または所掌事務の範囲内において一定の行政目的を実現
070,6,×,○,DIFF,行政機関が行政手続法により規律されうる行政指導を行うことができるのは、行政機関が
071,1,×,×,MATCH,行政指導に携わる者は、とくに必要がある場合には、当該行政機関の任務または所掌事務
071,2,○,○,MATCH,個別法上は届出の語が用いられていても、それが行政手続法上の届出に当たるとは限らな
071,3,×,×,MATCH,法令に基づき、自己に対して何らかの利益を付与する行政庁の応答を求める行為は、行政
071,4,×,×,MATCH,審査基準とは、行政庁が不利益処分をするか否かについて判断するために必要な基準であ
071,5,○,○,MATCH,「処分基準」とは、不利益処分をするかどうか、またはどのような不利益処分とするかに
071,6,○,○,MATCH,意見公募手続の対象である命令等には、審査基準や処分基準など、処分をするかどうかを
072,1,○,○,MATCH,行政処分、行政指導に当たる行為であっても、第3条第1項で列挙されている類型に該当
072,2,×,×,MATCH,行政手続法は、不服申立てに対する行政庁の裁決、裁判の執行としてされる処分、公務員
072,3,×,×,MATCH,公務員の懲戒処分には、行政手続法の定める不利益処分の規定が適用されるので、これを
072,4,○,○,MATCH,外国人の出入国、難民の認定または帰化に関する処分については、行政手続法の適用はな
072,5,○,×,DIFF,人の学識技能に関する試験または検定の結果についての処分については、行政手続法の適
072,6,○,○,MATCH,法令に基づき相手方を有する者の間の利益の調整を目的とし、その双方を名 あて人とし
072,7,×,○,DIFF,行政手続法には、行政調査の手続に関する通則的な規定は置かれておらず、また、間は、
072,8,○,○,MATCH,審査請求、再調査の請求その他の不服申立てに対する行政庁の裁決の執行または決定その
073,1,○,○,MATCH,地方公共団体の機関がする処分のうち、その根拠となる規定が条例で及規則に置かれてい
073,2,○,○,MATCH,行政手続法は、法律に基づく地方公共団体の行政処分には原則として適用される。
073,3,×,×,MATCH,地方公共団体の機関がする「申請に対する処分」については、それが個団の法定受託事務
073,4,×,×,MATCH,地方公共団体の機関がする不利益処分については、それが自他事務に該当する場合には、
073,5,○,○,MATCH,行政手続法の行政指導に関する規定は、地方公共団体の機関がする行政指導については、
074,1,×,×,MATCH,地方公共団体の機関がする行政指導については、その根拠となる規定が法令に定められて
074,2,×,×,MATCH,地方公共団体の制定する命令等であっても、法律の委任によって制定されるものでない限
074,3,○,○,MATCH,地方公共団体の条例にその根拠となる規定が置かれている届出の処理については、行政手
074,4,○,○,MATCH,地方公共団体は、行政手続法第3条第3項において同法の規定を適用しないこととされた
074,5,○,×,DIFF,地方公共団体の機関が、その固有の資格においてすべきこととされている届出には、行政
075,1,×,○,DIFF,審査基準を定めることは行政庁の努力義務であるが、設定した場合には、これを公にして
075,2,○,×,DIFF,審査基準を公にすることによって行政上特別の支障が生じる場合、行政庁がこれを審査基
075,3,×,×,MATCH,申請に対する処分について、申請がその事務所に到達してから当該申請に対する処分をす
075,4,×,×,MATCH,標準処理期間の進行開始時点は、行政庁が申請を正式に受理した時点からと進行する。
075,5,×,○,DIFF,行政庁は、申請がその事務所に到達してから当該申請に対する処分をするまでに通常要す
075,6,○,×,DIFF,行政庁が、申請の処理に要する標準処理期間を設定し、これを公表した場合において、当
076,1,○,×,DIFF,行政手続法は、申請に対する処分については、行政庁が標準処理期間を定めるよう努める
076,2,○,○,MATCH,行政庁は、申請がその事務所に到達したときは、遅滞なく当該申請の審査を開始しなけれ
076,3,×,×,MATCH,行政庁は、法令に定められた申請の形式上の要件に適合しない申請について、申請した者
076,4,○,○,MATCH,行政庁は、申請により求められた許認可等を拒否する処分をする場合は、申請者に対し、
076,5,○,○,MATCH,行政庁は、申請に対する拒否処分及び不利益処分のいずれの場合においても、これを書面
077,1,×,×,MATCH,行政庁は、申請により求められた許認可等を拒否する処分をする場合でも、当該申請が法
077,2,×,○,DIFF,申請拒否処分の理由については、理由を示さないで処分をするべき差し迫った必要がある
077,3,○,○,MATCH,行政庁は、申請者の求めがあれば、申請に係る審査の進行状況や申請に対する処分時期の
077,4,○,○,MATCH,行政庁は、申請をしようとする者又は申請者の求めに応じ、申請者の疎恵及び付属資料に
077,5,×,×,MATCH,行政庁は、申請に対する処分があって申請者以外の者の利益を害すべき場合に、公聴会の
077,6,×,×,MATCH,行政庁は、申請を拒否する処分をする場合には、弁明の機会の付与の手続を執らなければ
078,1,○,○,MATCH,不利益処分について、処分基準を定め、かつ、これを公にしておくことは、担当行政庁の
078,2,×,×,MATCH,行政手続法は、申請に対する処分の審査基準については、行政庁がこれを定めるよう努め
078,3,○,○,MATCH,不利益処分について行政機関が定める処分基準は、当該不利益処分の性質に照らしてでき
078,4,×,×,MATCH,行政庁が不利益処分をしようとする場合には、当該不利益処分の名宛人となるべき者につ
078,5,×,×,MATCH,行政手続法は、不利益処分を行うに当たって弁明の機会を付与する場合を列挙し、それら
079,1,×,○,DIFF,行政庁が許認可等を取り消す不利益処分をしようとするときは、その不利益を受ける者に
079,2,×,×,MATCH,申請拒否処分についても、相手方の権利に重大な影響を及ぼす不利益処分を行う場合など
079,3,×,○,DIFF,行政庁は、不利益処分をしようとする場合には、常に聴聞又は弁明の機会の付与の手続き
080,1,×,×,MATCH,行政庁は、申請を拒否する処分をする場合は、申請者から求めがあったときに限り当該処
080,2,○,○,MATCH,行政庁は、理由を示さないで不利益処分をすべき追い迫った必要がある場合であれば、処
080,3,○,×,DIFF,旅券法に基づく一般旅券の発給拒否通知書に付記すべき理由については、いかなる事項関
080,4,×,×,MATCH,一般建築士免許取消処分をするに際し、行政庁が行政手続きに基づいて発示した理由が不
081,1,×,○,DIFF,聴聞手続は行政庁の通知によって開始される。通知文書には、予定される不利益処分の内
081,2,×,×,MATCH,行政庁が、聴聞を行うに当たっては、不利益処分の名あて人となるべき者に対して、予定
081,3,×,○,DIFF,不利益処分の名あて人となるべき者の所在が判明しない場合には、行政庁は聴聞の通知や
081,4,×,○,DIFF,聴聞手続において、当事者が代理人の選任権を行使するには、主宰者の許可がなければな
081,5,○,○,MATCH,聴聞の当事者および参加人は、聴聞が終結するまでは、行政庁に対し、当該事案について
081,6,×,×,MATCH,聴聞の相手方については、聴聞の通知があったときから処分がされるまでの間、関係書類
082,1,×,×,MATCH,聴聞の通知があった時から聴聞が終結する時までの間、当事者から行政庁に対し、当該不
082,2,×,×,MATCH,聴聞の主宰者の決定は、不利益処分の名宛て人となるべき者（当事者）が聴聞の通知を受
082,3,×,×,MATCH,聴聞は行政庁が指名する職員その他侵害をしうる職員が主宰する。この場合に、行政庁が
082,4,○,×,DIFF,当事者または参加人は、聴聞の期日に出頭して、意見を陳べ、証拠書類を提出し、主宰者
082,5,×,×,MATCH,聴聞の期日における審理は、行政庁が公開することを相当と認めるときを除き、公開しな
082,6,○,×,DIFF,不利益処分の名宛て人となるべき者として行政庁から聴聞の通知を受けた者は、代理人を
082,7,×,×,MATCH,弁明は、行政庁が口頭ですることを認めるときを除き、書面の提出によってするのが原則
083,1,×,○,DIFF,主宰者は、当事者の全部または一部が正当な理由なく聴聞の期日に出頭せず、かつ、陳述
083,2,○,○,MATCH,聴聞の主宰者は、聴聞の結果を記載した調書を作成し、当該調書において、不利益処分の
083,3,○,○,MATCH,聴聞の主宰者は、聴聞の期日における審理が行われなかった場合には各期日ごとに聴聞調
083,4,×,×,MATCH,聴聞の主宰者は、聴聞の終結後、速やかに、不利益処分の原因となる事実に対する当事者
083,5,×,×,MATCH,聴聞手続の主宰者は、期日ごとに聴聞の審理の経過を記載した聴聞調書を作成し、また聴
084,1,○,○,MATCH,聴聞の当事者または参加人は、聴聞の主宰者によって作成された調書および報告書の閲覧
084,2,○,×,DIFF,行政庁は、聴聞の終結後に生じた事情にかかが必要があると認めると認めるときは、聴聞
084,3,○,×,DIFF,行政庁は、不利益処分の決定をするときは、調書の内容および報告書に記載された聴聞の
084,4,×,×,MATCH,聴聞の主宰者が聴聞の調書作成を終え報告書に当事者等の主張に理由があるとの意見を記
084,5,×,×,MATCH,文書閲覧請求や利害関係人の参加申立てを行政庁又は聴聞の主宰者が行政手続法の聴聞手
084,6,○,○,MATCH,聴聞を経て行政庁が行った不利益処分について、聴聞に参加した当事者は、当該処分につ
085,1,○,○,MATCH,弁明の機会の付与は、処分を行うため意見陳述を要する場合で、聴聞によるべきものとし
085,2,×,×,MATCH,弁明は、口頭ですることはできず、これを記載した書面を提出してしなければならない。
085,3,×,×,MATCH,聴聞の主客管は、弁明または聴聞の筆着の準備を調査した場合を作成しなければならない
085,4,×,×,MATCH,処分基準の設定は、行政手続法上、聴聞を経る処分の要件を設定することを含むとしてい
086,1,×,×,MATCH,不利益処分の理由の提示は、行政手続法上、聴聞を経る処分の手続には認められても、弁
086,2,×,○,DIFF,予定される不利益処分の内容等の通知は、行政手続法上、聴聞を経る処分の手続には認め
086,3,○,○,MATCH,聴聞、弁明の場合の付与のいずれの場合についても、当事者は代理人を選任することがで
086,4,×,×,MATCH,聴聞、弁明の機会の付与のいずれの場合についても、当該処分について利害関係を有する
086,5,○,×,DIFF,聴聞においては、処分の相手方以外の利害関係人にも意見を述べることが認められること
086,6,○,×,DIFF,文書閲覧権は、行政手続法上、聴聞を経る処分の手続には認められているが、弁明の機会
087,1,○,○,MATCH,行政指導に携わる者は、当該行政機関の任務または所掌事務の範囲を逸脱してはならない
087,2,○,○,MATCH,行政指導は、行政機関が、相手方に一定の作為又は不作為を行わせようとする行為である
087,3,○,×,DIFF,行政指導は相手方私人の任意的協力を求めるもので、法令や行政処分のように法的拘束力
087,4,○,○,MATCH,行政指導に携わる者は、その相手方が行政指導に従わなかったことを理由として、不利益
087,5,○,×,DIFF,申請の取下げ指導にあっては、申請者が当該行政指導に従う意思がない旨を表明したとき
088,1,×,×,MATCH,申請の取下げ又は変更を求める行政指導にあっては、行政指導に携わる者は、申請者が当
088,2,○,○,MATCH,申請拒否処分が許されない場合において、それをなしうるとして申請の取下げを求める行
088,3,×,×,MATCH,行政指導について、その相手方に対して、当該行政指導の趣旨および内容をあらかじめ責
088,4,×,×,MATCH,行政指導は、その内容および責任を明確にするため書面で行うことを原則とすべきであり
088,5,○,○,MATCH,行政指導に携わる者は、当該行政指導をする際に、行政機関が許認可等を発する権限又は
089,1,○,○,MATCH,行政指導が口頭でされた場合において、その相手方から当該行政指導の趣旨および内容を
089,2,○,×,DIFF,行政指導が書面によってされた場合において相手方に通知されている事項と同一内容の行
089,3,×,○,DIFF,同一の行政目的を実現するために複数の者に対し行政指導をする場合、行政機関はあらか
089,4,×,×,MATCH,法令に違反する行為の是正を求める行政指導等で、その根拠となる規定が法令に置かれて
090,1,×,○,DIFF,「届出」とは、行政庁に対し一定の事項の通知をする行為であって、当該行政庁にそれに
090,2,○,○,MATCH,届出は、法の定めによれば、「行政庁に対し一定の事項の通知をする行為」であるが、「
090,3,×,○,DIFF,届出は、法の定めによれば、「法令により直接に当該通知が義務付けられているの」であ
090,4,○,○,MATCH,形式上の要件に適合する届出については、提出先とされる機関の事務所に届出書が到達し
090,5,×,×,MATCH,届出書の記載事項に不備がある場合であっても、届出がなされた以上は届出義務は尽くさ
091,1,○,○,MATCH,行政機関が法律に基づく命令を定める場合には、当該命令がこれを定める規定となる法令
091,2,×,○,DIFF,行政機関は法律に基づく命令を定めた後においても、当該命令の実施状況や社会経済情勢
091,3,○,○,MATCH,命令等制定機関は、命令等を定めようとする場合には、当該命令等の案およびこれに関連
091,4,○,○,MATCH,審査基準の設定には、意見公募手続の実施が義務付けられており、それに対して、所定の
091,5,○,×,DIFF,命令等を定めようとする場合において、やむを得ない理由があるときは、その理由を公示
092,1,○,×,DIFF,法律に基づく命令、審査基準、処分基準および行政指導指針を定める場合、各省庁、緊急
092,2,×,○,DIFF,命令等の制定機関は、命令を定めようとする命令等、他の行政機関が意見公募手続きを実
092,3,×,○,DIFF,命令等制定機関は、命令等を定める根拠となる法令の規定の削除に伴い当然必要とされる
092,4,○,×,DIFF,命令等制定機関は、命令を定めようとする場合において、委員会等の議を経て命令等を定
092,5,×,×,MATCH,意見公募手続について、当該手続の実施について周知することおよび当該手続の実施に関
092,6,×,○,DIFF,命令等制定機関は、意見公募手続の実施後に意見等を定めるときには所定の事項を公示す
093,1,×,×,MATCH,命令等制定機関は、意見公募手続を実施して命令等を定めるに当たり、意見提出期間内に
093,2,×,○,DIFF,意見公募手続を実施して一般の意見を公募した以上、命令等を制定しないことは許されず
093,3,×,×,MATCH,命令等制定機関は、所定の事項を書面で当該命令等を定めるべく意見公募手続を実施して
093,4,×,×,MATCH,意見公募手続において、提出意見があった場合には、提出意見やそれを考慮した結果を公
093,5,○,○,MATCH,意見公募手続を実施したが、当該命令等に対して提出された意見（提出意見）が全く存在
095,1,○,○,MATCH,取消訴訟においては処分の適法性のみを争うことができるが、行政不服申立てにおいては
095,2,○,○,MATCH,行政不服審査法にいう「その他公権力の行使」の行使には、「公権力の行使に当たる事実
095,3,○,○,MATCH,行政庁の不作為も、審査請求の対象となりうる。
096,1,×,×,MATCH,行政不服審査法にいう「処分」には、「不作為」も含まれる。
096,2,○,○,MATCH,不作為についての審査請求が認められるのは、行政庁が法令に基づく申請に対し、相当の
096,3,×,×,MATCH,行政不服審査法における「不作為」には、申請が法律に定められた形式上の要件に適合し
096,4,×,×,MATCH,行政不服審査法は、審査請求の対象となる行政庁の処分については、いわゆる一般概括主
096,5,×,×,MATCH,審査請求をすることができる事項について別表主義を採っている。
096,6,○,○,MATCH,審査請求の対象である行政庁の処分には、行政不服審査法に基づく処分は含まれない。
096,7,×,×,MATCH,審査請求は、「国会の両院若しくは一院又は議会の議決によってされる処分」に対しても
096,8,×,×,MATCH,行政庁の処分のうち、研修所において研修の目的を達成するために、研修生に対してされ
097,1,×,×,MATCH,行政不服審査法による不服申立ては、審査請求と再調査の請求に限られ、再審査請求を含
097,2,○,○,MATCH,国税犯則事件に関する法令に基づき、国税庁長官がする処分は、行政不服審査法の審査請
097,3,×,○,DIFF,行政不服審査法７条により、審査請求の対象とならないと定められている外国人の出入国
097,4,×,×,MATCH,行政不服審査法によると、外国人の出入国または帰化に関する処分についても審査請求を
097,5,×,×,MATCH,地方公共団体は、自己に対する処分でその固有の資格において処分の相手方となるものに
097,6,×,○,DIFF,不作為についての審査請求は、事務処理の促進を目的として規定されているため、適用除
097,7,×,○,DIFF,行政不服審査法は、不服申立制度全般について統一的、整合的に規律することを目的とす
098,1,×,×,MATCH,不作為についての審査請求は、当該処分についての申請をした者だけではなく、当該処分
098,2,×,×,MATCH,行政庁の処分に不服のある場合のほか、法律に基づく処分についての申請について不作為
098,3,×,×,MATCH,取消訴訟は他の民事訴訟と同じく3審制であるが、行政不服申立ての場合、審査請求の審
099,1,×,×,MATCH,審理員による審理手続は、処分についての審査請求においてのみなされ、不作為について
100,1,×,○,DIFF,行政処分について審査請求の申立適格を有するのは、処分の相手方に限られ、それ以外の
100,2,○,○,MATCH,法人でない社団または財団であっても、代表者または管理人の定めがあるものは、当該社
100,3,×,×,MATCH,多数人が共同して審査請求をしようとする場合、1人を総代を選ばなければならない。
100,4,×,○,DIFF,共同審査請求人の総代は、他の共同審査請求人のために、審査請求の取下げを含め、当該
100,5,×,×,MATCH,多数人が共同して行った審査請求においては、法定数以内の総代を共同審査請求人により
102,1,○,○,MATCH,不作為についての審査請求については審査請求期間の定めはない。
102,2,×,×,MATCH,処分についての審査請求に関する審査請求期間については、処分があったことを知った日
102,3,○,○,MATCH,審査請求は、原則として、処分（当該処分について再調査の請求をしたときは、当該再調
102,4,○,×,DIFF,審査請求書には、審査請求に係る処分があったことを知った年月日を記載しなければなら
103,1,×,×,MATCH,審査請求は、申立人の選択により、書面または口頭でこれをすることができる。
103,2,○,○,MATCH,審査請求は書面により行わなければならないが、行政不服審査法以外の法律や条例に口頭
103,3,○,○,MATCH,審査請求は、審査請求をすべき行政内閣が処分庁と異なる場合には、処分庁を経由してす
103,4,○,○,MATCH,審査請求が不適法であっても、これを補正できるときは、審査庁は、直ちに却下すること
103,5,○,○,MATCH,審査庁は、審査請求が不適法であって補正することができないときに限らずともさまざま
104,1,×,×,MATCH,審理員は、審査請求がされた行政庁が、審査請求が対象とされた処分の処分庁または不作
104,2,×,×,MATCH,審査庁となるべき各行政庁は、必ず標準処理期間を定め、これを当該審査庁となるべき行
104,3,○,○,MATCH,審理員は、審査庁に所属する職員のうちから指名され、審査庁となるべき行政庁は、審理
104,4,×,×,MATCH,審査請求がなされたときは、審理員は、審査庁から指名されたときはじめに審査請求書等
105,1,×,×,MATCH,審査請求人は、処分庁が提出した反論書に記載された事項について、弁明書を提出するこ
105,2,×,×,MATCH,行政事件訴訟法は、訴訟の結果により権利を害される第三者の訴訟参加に関する規定を置
105,3,×,×,MATCH,憲法による法定手続の保障の趣旨は、行政上の不服申立ての手続き及びその不服において
105,4,○,○,MATCH,審査請求の審理は、書面によるのが原則であるが、申立人の申立てがあった場合には、審
105,5,○,○,MATCH,審査請求人からの申立てがあった場合には、審理員は原則として口頭で意見陳述の機会を
105,6,○,○,MATCH,審査請求人または参加人の申立てによる口頭意見陳述に際しては、申立人は、審理員の許
106,1,○,○,MATCH,審査請求人または参加人は、証拠書類または証拠物を提出することができるが、審理員が
106,2,○,○,MATCH,審理員は、不服申立てを審査する理由に、必要と考える場合その事実関係を求めるよう申
106,3,○,×,DIFF,審理員は、職権により、物件の所有人に対し物件の提出を求めた上で、提出された審理物
106,4,○,×,DIFF,不服申立てを審査する理由は、書証の必要に応じて、書類その他の物件の所持人にそれら
106,5,○,×,DIFF,審理員は、審査請求人または参加人の申立てがなければ、必要な場所についての検証をす
106,6,×,○,DIFF,審理員は、審査請求人または参加人の申立てがなければ、審査請求に係る事件に関し、審
106,7,○,○,MATCH,審査請求人は、審理手続が終了するまでの間、審理員に対し、提出書類等の閲覧を求める
106,8,×,×,MATCH,不服申立人は、不服申立てを審査する審理員に、処分の理由となった事実を証する書類等
107,1,×,×,MATCH,審理員は、数個の審査請求に係る審理手続を併合することはできるが、ひとたび併合され
107,2,×,○,DIFF,審理員が、処分についての審査請求において、必要があると認める場合には、処分庁に対
107,3,○,○,MATCH,行政不服審査法に基づく審査請求を整理した審理員は、審理手続を終結したときは、速や
107,4,×,×,MATCH,審理員は、行政不服審査法が定める例外に該当する場合を除いて、審理手続きを終了する
107,5,×,○,DIFF,審査請求人が死亡したときは、相続人の他に法律上の審査請求人の代理人も審査手続を継
107,6,×,×,MATCH,審査請求人の地位は、一身専属的なものであるので、審査請求人が死亡した場合には、相
107,7,○,○,MATCH,審査請求の目的である処分に係る権利を譲り受けた者は、審査庁の許可を得ずに審査請求
108,1,×,×,MATCH,審査請求人は、裁決があるまでは、いつでも審査請求を取り下げることができるが、この
108,2,×,×,MATCH,審査請求手続は、決定によって終了するのが原則であるが、審査請求を認容する決定につ
108,3,×,×,MATCH,審査請求が法定の期間経過後にされたものであるとき、その他不適法であるときは、審査
108,4,×,×,MATCH,処分についての審査請求が不適法である場合や、審査請求が理由がない場合には、審査庁
108,5,×,×,MATCH,審査庁は、審査請求に係る処分が適法または不当である場合には、その取消しや撤回によ
108,6,×,×,MATCH,審査庁は、審査請求に理由があるときは、裁決で、当該処分の全部を取り消さなければな
109,1,○,○,MATCH,処分についての審査請求を認容する場合、審査庁が処分庁の上級行政庁または処分庁であ
109,2,×,×,MATCH,審査庁は、処分庁の上級行政庁または処分庁でなくとも、審査請求に対する裁決決定によ
109,3,×,×,MATCH,法令に基づく申請を却下し、または棄却する処分の全部または一部を取り消す場合におい
109,4,×,○,DIFF,事実行為についての審査請求に理由がある場合は、処分庁以外の審査庁は、当該審査庁が
110,1,○,○,MATCH,事実上の行為のうち、処分庁である審査庁に審査請求をすべきとされているものについて
110,2,○,×,DIFF,不作為についての審査請求が当該不作為に係る処分についての申請から相当の期間が経過
110,3,○,○,MATCH,不作為についての審査請求について理由がない場合には、審査庁は、裁決で、当該審査請
110,4,×,×,MATCH,不作為に対する審査請求が理由のあるときは、審査庁は裁決で当該不作為が違法もしくは
110,5,×,×,MATCH,不作為についての審査請求が理由がある場合において、審査庁が不作為庁の上級行政庁で
111,1,×,○,DIFF,行政庁の処分の相手方以外の者が審査請求をした場合において、審査庁が当該処分の全部
